ID,B,C,Value
Northeastern York SD,In-Person,8/27/2020,District Plan
Portage Area SD,Blended,9/8/2020,District Plan
McKeesport Area SD,In-Person,9/2/2020,District Plan
Old Forge SD,Blended,9/8/2020,District Plan
Mechanicsburg Area SD,Blended,9/8/2020,District Plan
Mercer Area SD,In-Person,8/25/2020,District Plan
Methacton SD,Remote,9/8/2020,District Plan
Meyersdale Area SD,In-Person,9/1/2020,District Plan
Mid Valley SD,Blended,9/8/2020,District Plan
Midd-West SD,In-Person,8/24/2020,District Plan
Middletown Area SD,Blended,8/31/2020,District Plan
Midland Borough SD,Blended,9/8/2020,District Plan
Lebanon SD,Blended,8/31/2020,District Plan
Leechburg Area SD,Remote,8/26/2020,District Plan
Newport SD,Blended,8/25/2020,District Plan
Norristown Area SD,Remote,8/31/2020,District Plan
North Allegheny SD,Blended,9/8/2020,District Plan
North Penn SD,Remote,8/31/2020,District Plan
North Pocono SD,Blended,8/31/2020,District Plan
North Schuylkill SD,Blended,8/27/2020,District Plan
North Star SD,In-Person,8/27/2020,District Plan
Oley Valley SD,Blended,8/24/2020,District Plan
North Hills SD,Remote,8/25/2020,District Plan
Oswayo Valley SD,In-Person,8/27/2020,District Plan
North Clarion County SD,In-Person,8/26/2020,District Plan
North East SD,In-Person,8/31/2020,District Plan
Monessen City SD,Remote,9/8/2020,District Plan
Shenango Area SD,In-Person,8/25/2020,District Plan
Moshannon Valley SD,In-Person,8/26/2020,District Plan
Mount Union Area SD,In-Person,8/26/2020,District Plan
Mountain View SD,Blended,8/27/2020,District Plan
Montgomery Area SD,In-Person,8/31/2020,District Plan
Montour SD,Blended,9/1/2020,District Plan
Mount Carmel Area SD,In-Person,8/24/2020,District Plan
Port Allegany SD,In-Person,8/26/2020,District Plan
Bethel Park SD,Remote,9/1/2020,District Plan
Reading SD,Remote,9/8/2020,District Plan
Red Lion Area SD,In-Person,8/24/2020,District Plan
Redbank Valley SD,In-Person,8/31/2020,District Plan
Reynolds SD,Remote,8/31/2020,District Plan
Brandywine Heights Area SD,Blended,8/31/2020,District Plan
Pottsgrove SD,Remote,8/31/2020,District Plan
Northern Potter SD,In-Person,8/26/2020,District Plan
Pottstown SD,Remote,8/24/2020,District Plan
Scranton SD,Remote,9/8/2020,District Plan
Selinsgrove Area SD,In-Person,8/19/2020,District Plan
Springfield Township SD,Remote,9/8/2020,District Plan
Pottsville Area SD,Blended,8/31/2020,District Plan
Punxsutawney Area SD,In-Person,8/27/2020,District Plan
Southmoreland SD,Blended,9/8/2020,District Plan
Spring Cove SD,In-Person,8/25/2020,District Plan
Spring-Ford Area SD,Remote,9/8/2020,District Plan
Spring Grove Area SD,In-Person,8/24/2020,District Plan
Northern Lebanon SD,Blended,8/31/2020,District Plan
Northern Lehigh SD,Blended,8/31/2020,District Plan
Saint Marys Area SD,In-Person,8/31/2020,District Plan
Seneca Valley SD,In-Person,8/26/2020,District Plan
Shade-Central City SD,In-Person,9/1/2020,District Plan
Shaler Area SD,Remote,9/8/2020,District Plan
Richland SD,In-Person,8/26/2020,District Plan
Ridgway Area SD,In-Person,9/8/2020,District Plan
Southern Lehigh SD,Blended,8/31/2020,District Plan
Ridley SD,Remote,9/1/2020,District Plan
Ringgold SD,In-Person,8/24/2020,District Plan
Southern York County SD,Blended,8/21/2020,District Plan
Springfield SD,Remote,9/8/2020,District Plan
Southern Tioga SD,Blended,8/26/2020,District Plan
State College Area SD,Blended,8/26/2020,District Plan
Steel Valley SD,Blended,9/8/2020,District Plan
Titusville Area SD,Blended,9/1/2020,District Plan
West Perry SD,Blended,8/24/2020,District Plan
West Shore SD,Remote,8/25/2020,District Plan
West York Area SD,Blended,8/24/2020,District Plan
Upper Merion Area SD,Remote,8/31/2020,District Plan
William Penn SD,Remote,9/14/2020,District Plan
Upper Moreland Township SD,Remote,8/31/2020,District Plan
Wilmington Area SD,Blended,9/1/2020,District Plan
Wilson SD,Blended,8/26/2020,District Plan
Upper Perkiomen SD,Remote,8/31/2020,District Plan
Whitehall-Coplay SD,Blended,8/31/2020,District Plan
Upper Saint Clair SD,Blended,9/8/2020,District Plan
Wilkes-Barre Area SD,In-Person,9/10/2020,District Plan
Northwestern SD,Blended,8/25/2020,District Plan
Steelton-Highspire SD,Remote,8/31/2020,District Plan
Washington SD,Blended,9/8/2020,District Plan
Harbor Creek SD,Blended,8/24/2020,District Plan
Western Beaver County SD,In-Person,9/8/2020,District Plan
